ds,yhat,yhat_lower,yhat_upper
2020-09-28,1912.6486564583008,1850.9273758151164,1979.8233113136084
2020-09-29,1912.0889705775278,1851.9928338390528,1977.7098393248843
2020-09-30,1911.323956062696,1848.742220135297,1976.6285992487497
2020-10-01,1909.2023994572255,1844.0614047836436,1970.3544496702737
2020-10-02,1906.112896593345,1845.8130530450496,1970.0988281546183
2020-10-05,1903.3293329144792,1841.1448040181315,1966.1353034970703
2020-10-06,1906.706424215679,1843.5746887126468,1970.2842628095357
2020-10-07,1906.9878261366348,1842.5009421139825,1969.3633947258536
2020-10-08,1908.6992168597387,1846.453203838554,1969.5115675188881
2020-10-09,1908.2668450161837,1846.8329087330355,1973.676056384931
2020-10-12,1908.288853285776,1845.8338404825574,1974.9249106579432
2020-10-13,1912.500234652424,1843.7318433877408,1976.1240001602016
2020-10-14,1914.8473048083902,1853.8092883675706,1978.5845076987202
2020-10-15,1916.5195608398317,1854.6093618291,1976.3643778671797
2020-10-16,1916.993770414721,1849.8126554756566,1979.56734668954
2020-10-19,1918.0140898475609,1852.1282424716126,1980.3113445093193
2020-10-20,1921.7624406033312,1858.1083638058615,1984.482412923684
2020-10-21,1922.0540525317926,1856.60676240207,1990.361336428532
2020-10-22,1923.4013533022744,1861.3558739714197,1991.5811218883196
2020-10-23,1922.47174095709,1858.4397710553021,1981.834773501988
2020-10-26,1919.081893983046,1855.9317936703783,1981.8104357634159
2020-10-27,1921.7033653559272,1851.748336504842,1984.2215653058634
2020-10-28,1920.0928052793795,1859.8531996168012,1981.0953420303958
2020-10-29,1918.82089027146,1856.0999523534983,1987.517033937367
2020-10-30,1916.7349601699425,1852.6254849168074,1981.0577778991194
2020-11-02,1910.8457870381121,1843.075471399478,1975.1255738967589
2020-11-03,1912.1801462216674,1848.1196485230403,1978.3033162493336
2020-11-04,1911.8672041874838,1848.7368667353498,1977.9690184846363
2020-11-05,1910.1764042601956,1844.806144394469,1972.1783744897639
2020-11-06,1906.4032208768801,1845.8521138682588,1968.7053655803024
2020-11-09,1900.0201998198418,1837.7614163806597,1966.8035994002496
2020-11-10,1901.1045561701378,1834.2132067284738,1965.3506800105283
2020-11-11,1899.5986228322138,1839.7424628676602,1964.3183010257121
2020-11-12,1897.7448502120103,1835.6137072822282,1960.3643632623134
2020-11-13,1894.310999408182,1834.6156347669448,1961.0146397970461
2020-11-16,1886.8669065409906,1819.729243450348,1949.8786330746937
2020-11-17,1887.5041373750228,1819.0967384223657,1946.5775362120503
2020-11-18,1886.4279933278751,1822.4641918526354,1949.745061638351
2020-11-19,1885.0090297959937,1822.0636680162254,1947.4773006047355
2020-11-20,1882.7865386129563,1817.1791395401574,1944.6567271652532
2020-11-23,1876.17546058069,1810.6153016641545,1939.1208509189726
2020-11-24,1878.3240162225243,1816.7934595798515,1944.707168260149
2020-11-25,1877.89155423619,1813.4883404944621,1937.0337317639307
2020-11-27,1872.7629152392908,1806.9446522383143,1936.7267545671234
2020-11-30,1863.7658622306799,1800.159850717042,1931.5458100060725
2020-12-01,1863.663501161865,1800.0055578216115,1929.300877977472
2020-12-02,1862.660385922052,1798.802192954216,1923.668917652053
2020-12-03,1861.399414291751,1799.4938001840164,1928.9310571896892
